Months_beginning_Jan_1871,Monthly_years,Monthly_nom_gov_bond_rate,Monthly_nom_margin_rate,Monthly_nom_stock_return,Monthly_CPI,Fed_funds_rate
323,1897.11,0.004638808,0.001446765,0.024731183,6.660193388,
324,1897.12,0.002693471,0.003072542,0.030526316,6.660193388,
325,1898.01,-0.003529575,0.001446765,0.00105362,6.660193388,
326,1898.02,-0.006105629,0.00226328,-0.042037988,6.755342479,
327,1898.03,-0.002288413,0.001753817,-0.013888889,6.755342479,
328,1898.04,0.006498521,0.002059836,0.069049964,6.755342479,
329,1898.05,0.006925957,0.001138675,0.042236482,7.231071736,
330,1898.06,0.009710292,0.001035746,0.007081686,6.755342479,
331,1898.07,0.003662229,0.001035746,0.04054626,6.660193388,
332,1898.08,0.002729476,0.001651581,0.001159077,6.660193388,
333,1898.09,0.003253286,0.003072542,-0.017823194,6.660193388,
334,1898.1,0.001680913,0.001446765,0.036192557,6.660193388,
335,1898.11,0.005070119,0.001855938,0.065136278,6.660193388,
336,1898.12,0.004497403,0.00226328,0.079056047,6.755342479,
337,1899.01,0.000908373,0.002059836,0.04058114,6.755342479,
338,1899.02,0.003467827,0.002059836,0.016926836,6.945632562,
339,1899.03,0.00459799,0.004867551,0.015136719,6.945632562,
340,1899.04,0.002048224,0.00327374,-0.039052212,7.040773554,
341,1899.05,0.004678559,0.00246627,-0.019804079,7.040773554,
342,1899.06,0.001038836,0.002870899,0.037410763,7.135922645,
343,1899.07,0.003176389,0.003173196,0.028208599,7.231071736,
344,1899.08,0.002414304,0.002364831,-0.008194876,7.326212727,
345,1899.09,0.002542945,0.00643403,-0.001995029,7.611651901,
346,1899.1,0.003911527,0.004867551,0.021665352,7.706792893,
347,1899.11,0.008483335,0.004867551,-0.065412797,7.801941983,
348,1899.12,0.002472253,0.004471699,0.016196013,7.897091074,
349,1900.01,0.003419548,0.002668809,0.021004098,7.897091074,
350,1900.02,0.00492443,0.001855938,0.011070853,7.992232066,
351,1900.03,-0.001678671,0.002870899,0.015874601,7.992232066,
352,1900.04,0.004613289,0.001855938,-0.044164038,7.992232066,
353,1900.05,0.002347621,0.001651581,-0.026386589,7.801941983,
354,1900.06,0.001393319,0.001138675,0.00362628,7.706792893,
355,1900.07,0.000322855,0.001138675,0.017384812,7.801941983,
356,1900.08,0.004520864,0.001035746,-0.019781145,7.706792893,
357,1900.09,0.0024711,0.001600421,0.040193966,7.801941983,
358,1900.1,0.007141023,0.003674809,0.082154742,7.706792893,
359,1900.11,0.005158817,0.002870899,0.063946759,7.706792893,
360,1900.12,0.003179773,0.004273128,0.032751092,7.611651901,
361,1901.01,0.002392395,0.001651581,0.029015794,7.706792893,
362,1901.02,0.001492992,0.001651581,0.039348276,7.611651901,
363,1901.03,0.004304709,0.002059836,0.087272526,7.611651901,
364,1901.04,0.001380052,0.00327374,-0.047228706,7.51650281,
365,1901.05,0.003172628,0.00246627,0.102935533,7.51650281,
366,1901.06,0.001605018,0.005654145,-0.064019608,7.51650281,
367,1901.07,3.02E-05,0.002059836,0.01714691,7.611651901,
368,1901.08,0.004111365,0.002161615,-0.001727819,7.706792893,
369,1901.09,0.004843795,0.003072542,-0.00796875,7.801941983,
370,1901.1,0.001937937,0.002668809,0.024828276,7.801941983,
371,1901.11,0.003040206,0.00327374,-0.012806312,7.897091074,
372,1901.12,0.001267094,0.005261694,0.024737945,7.992232066,
373,1902.01,0.003267454,0.001957944,0.011912972,7.897091074,
374,1902.02,0.00237535,0.001855938,0.004494302,7.897091074,
375,1902.03,0.002812981,0.003874685,0.03742378,7.897091074,
376,1902.04,0.00237115,0.003474495,0.000818593,7.992232066,
377,1902.05,-0.00506256,0.00246627,-0.002716706,8.087381157,
378,1902.06,-0.004205026,0.00226328,0.025812525,8.18251405,
379,1902.07,0.002507067,0.00226328,0.029901163,8.18251405,
380,1902.08,0.01172287,0.003072542,0.005348245,8.087381157,
381,1902.09,0.003780022,0.012445138,-0.028554614,8.18251405,
382,1902.1,0.000130381,0.004074124,-0.03531408,8.753424793,
383,1902.11,0.000581854,0.003674809,-0.019728964,8.467928926,
384,1902.12,0.002445006,0.006821493,0.054347826,8.563094215,
385,1903.01,0.003368179,0.003072542,-0.002642829,8.658259504,
386,1903.02,0.004729961,0.00246627,-0.035936385,8.658259504,
387,1903.03,-0.001386466,0.004669839,-0.037386551,8.372844628,
388,1903.04,0.004314503,0.002668809,-0.015734409,8.372844628,
389,1903.05,0.00069036,0.001855938,-0.051553728,8.18251405,
390,1903.06,0.000572518,0.001855938,-0.042014856,8.18251405,
391,1903.07,0.002467643,0.001651581,-0.027959854,8.18251405,
392,1903.08,0.003996191,0.001446765,-0.019817748,8.18251405,
393,1903.09,0.002803093,0.001957944,-0.02801391,8.277679339,
394,1903.1,0.000811187,0.00327374,0.00781017,8.18251405,
395,1903.11,0.002465339,0.005261694,0.050800159,8.087381157,
396,1903.12,0.001748856,0.004867551,0.021182141,8.087381157,
397,1904.01,7.87E-05,0.001446765,-0.022621008,8.277679339,
398,1904.02,0.002981033,0.001549231,0.001324359,8.467928926,
399,1904.03,0.002252156,0.001344184,0.029063786,8.372844628,
400,1904.04,0.001522364,0.0009327,-0.016858685,8.277679339,
401,1904.05,0.003226393,0.001138675,0.005811538,8.087381157,
402,1904.06,0.002495381,0.0009327,0.045698925,8.087381157,
403,1904.07,6.27E-05,0.000726259,0.037938791,8.087381157,
404,1904.08,0.003250737,0.000829538,0.048065858,8.18251405,
405,1904.09,0.00251184,0.001651581,0.062386157,8.277679339,
406,1904.1,0.000539869,0.001855938,0.057598925,8.277679339,
