Date,Open,High,Low,Close
1/4/1930,21.2342,21.6373,21.335,21.4861
1/6/1930,21.4861,21.7002,21.2846,21.4987
1/7/1930,21.4987,21.5743,21.1335,21.3098
1/8/1930,21.3098,21.4735,21.1335,21.2972
1/9/1930,21.2972,21.7002,21.3098,21.6247
1/10/1930,21.6247,21.8514,21.4484,21.5491
1/11/1930,21.5491,21.5617,21.3098,21.4484
1/13/1930,21.4484,21.6499,21.3098,21.5239
1/14/1930,21.5239,21.7506,21.4358,21.5617
1/15/1930,21.5617,21.7632,21.3728,21.6499
1/16/1930,21.6499,21.8766,21.398,21.4987
1/17/1930,21.4987,21.5995,21.1587,21.3098
1/18/1930,21.3098,21.4358,21.0579,21.3728
1/20/1930,21.3728,21.5491,21.2091,21.4106
1/21/1930,21.4106,21.7002,21.2972,21.6121
1/22/1930,21.6121,21.801,21.4735,21.6373
